,modeltype,target,train_size,trues,preds,model_params,accuracy,f1_micro,f1_macro,kappa,seed
10,RandomForestClassifier,['mp_bin'],25,"[0 1 0 1 1 1 1 0 0 1 0 0 0 1 1 1 0 1 0 0 1 1 1 0 1 0 0 1 1 1 0 1 1 0 1 1 1
 0 1 1 0 1 1 0 0 0 1 1 0 1]","[0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0
 0 0 1 0 0 0 0 0 1 0 0 0 0]","{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 52, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.46,0.46,0.42084942084942084,0.025974025974025983,2
11,RandomForestClassifier,['mp_bin'],50,"[0 1 0 1 1 1 1 0 0 1 0 0 0 1 1 1 0 1 0 0 1 1 1 0 1 0 0 1 1 1 0 1 1 0 1 1 1
 0 1 1 0 1 1 0 0 0 1 1 0 1]","[1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1
 1 1 1 0 0 0 0 0 0 1 0 0 0]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 6, 'min_samples_split': 9, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 64, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.52,0.52,0.5073891625615764,0.10846953937592874,2
12,RandomForestClassifier,['mp_bin'],100,"[0 1 0 1 1 1 1 0 0 1 0 0 0 1 1 1 0 1 0 0 1 1 1 0 1 0 0 1 1 1 0 1 1 0 1 1 1
 0 1 1 0 1 1 0 0 0 1 1 0 1]","[1 0 0 0 0 1 0 0 1 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1
 1 0 0 1 1 0 0 0 0 1 1 0 1]","{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 13, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 98, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.54,0.54,0.5353535353535352,0.13010590015128587,2
13,RandomForestClassifier,['mp_bin'],250,"[0 1 0 1 1 1 1 0 0 1 0 0 0 1 1 1 0 1 0 0 1 1 1 0 1 0 0 1 1 1 0 1 1 0 1 1 1
 0 1 1 0 1 1 0 0 0 1 1 0 1]","[1 0 0 1 1 1 0 0 1 0 0 1 0 1 0 1 1 0 0 1 0 0 1 0 0 0 0 0 1 1 0 1 1 1 0 1 0
 1 1 1 0 0 0 0 0 0 1 1 0 1]","{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 219, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.6,0.6,0.5993589743589745,0.21011058451816744,2
14,RandomForestClassifier,['mp_bin'],1000,"[0 1 0 1 1 1 1 0 0 1 0 0 0 1 1 1 0 1 0 0 1 1 1 0 1 0 0 1 1 1 0 1 1 0 1 1 1
 0 1 1 0 1 1 0 0 0 1 1 0 1]","[1 1 1 1 1 1 1 0 1 1 0 0 0 0 0 1 1 0 0 1 1 1 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0
 0 1 1 1 1 1 0 0 0 1 1 0 1]","{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 284, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.7,0.7,0.696969696969697,0.3961352657004831,2
15,XGBClassifier,['mp_bin'],25,"[0 1 0 1 1 1 1 0 0 1 0 0 0 1 1 1 0 1 0 0 1 1 1 0 1 0 0 1 1 1 0 1 1 0 1 1 1
 0 1 1 0 1 1 0 0 0 1 1 0 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0
 0 1 1 0 0 1 0 0 1 0 0 0 1]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8164397594792208, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.0011212391852101478, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.06808814273557297, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 14, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 226, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.023565694942799014, 'reg_lambda': 1.5322991328716974e-05, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.6781546541549237, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.56,0.56,0.548440065681445,0.18276374442793464,2
16,XGBClassifier,['mp_bin'],50,"[0 1 0 1 1 1 1 0 0 1 0 0 0 1 1 1 0 1 0 0 1 1 1 0 1 0 0 1 1 1 0 1 1 0 1 1 1
 0 1 1 0 1 1 0 0 0 1 1 0 1]","[1 1 0 0 1 1 1 0 1 0 0 0 1 1 0 0 1 0 1 1 0 1 1 1 0 1 0 1 1 0 0 0 1 1 0 1 1
 1 1 1 1 0 0 0 0 1 1 0 0 1]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.76516238852293, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.5260245007668397, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.26795540216461894, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 13, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 281, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 2.928017918082908e-06, 'reg_lambda': 0.004242450950074072, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.6160019211186678, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.5,0.5,0.4900040799673603,-0.019575856443719397,2
17,XGBClassifier,['mp_bin'],100,"[0 1 0 1 1 1 1 0 0 1 0 0 0 1 1 1 0 1 0 0 1 1 1 0 1 0 0 1 1 1 0 1 1 0 1 1 1
 0 1 1 0 1 1 0 0 0 1 1 0 1]","[1 1 0 1 0 1 0 0 1 0 0 1 0 1 0 1 1 1 1 1 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 1 1
 1 1 1 1 1 1 0 0 0 1 0 0 1]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.9682157783882113, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 2.684517986622549e-07, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.18181994516477262, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 12, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 148, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 2.922969845729952e-05, 'reg_lambda': 0.0006132849889359174, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.7781337493368945, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.58,0.58,0.5757575757575757,0.15458937198067635,2
18,XGBClassifier,['mp_bin'],250,"[0 1 0 1 1 1 1 0 0 1 0 0 0 1 1 1 0 1 0 0 1 1 1 0 1 0 0 1 1 1 0 1 1 0 1 1 1
 0 1 1 0 1 1 0 0 0 1 1 0 1]","[0 1 0 1 1 1 0 0 1 0 0 1 0 1 0 1 1 0 1 1 1 0 1 0 0 0 0 1 1 0 0 1 1 1 1 1 0
 1 1 1 0 1 0 0 0 0 1 1 0 1]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.5788389722308409, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.0006056835505895479, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.09420906359013778, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 15, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 207, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 5.149630847378493e-06, 'reg_lambda': 3.146287010581428e-08, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.9473542520987905, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.68,0.68,0.6753246753246753,0.35170178282009723,2
19,XGBClassifier,['mp_bin'],1000,"[0 1 0 1 1 1 1 0 0 1 0 0 0 1 1 1 0 1 0 0 1 1 1 0 1 0 0 1 1 1 0 1 1 0 1 1 1
 0 1 1 0 1 1 0 0 0 1 1 0 1]","[0 1 1 1 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 1 0 1 0 1 0 0 0 1 0 0 1 1 0 0 1 0
 0 1 1 0 1 1 0 0 1 1 1 0 1]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.6467635254081844, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.0013940558541453783, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.08144076391546128, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 15, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 216, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 6.012096022881967e-06, 'reg_lambda': 0.021147398996513647, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.6041394776375565, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.66,0.66,0.6587715776796468,0.32432432432432434,2
20,RandomForestClassifier,['mp_bin'],25,"[1 1 0 0 0 1 0 0 1 1 1 1 0 1 0 0 1 1 0 1 0 0 0 1 0 1 0 1 0 0 1 0 0 1 1 1 1
 0 0 0 0 0 1 0 1 0 0 1 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 0 0 0 0 0 0]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 7, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 88, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.54,0.54,0.3506493506493506,-0.039783001808318286,3
21,RandomForestClassifier,['mp_bin'],50,"[1 1 0 0 0 1 0 0 1 1 1 1 0 1 0 0 1 1 0 1 0 0 0 1 0 1 0 1 0 0 1 0 0 1 1 1 1
 0 0 0 0 0 1 0 1 0 0 1 0 0]","[0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 1 0
 1 0 0 1 0 0 0 0 0 0 1 0 0]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 9, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.62,0.62,0.5703301673450927,0.18524871355060035,3
22,RandomForestClassifier,['mp_bin'],100,"[1 1 0 0 0 1 0 0 1 1 1 1 0 1 0 0 1 1 0 1 0 0 0 1 0 1 0 1 0 0 1 0 0 1 1 1 1
 0 0 0 0 0 1 0 1 0 0 1 0 0]","[1 0 0 0 1 0 0 1 1 1 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 1 1 1 0 0 1 0 1 1 0
 0 1 0 0 0 1 0 1 0 1 1 1 0]","{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 52, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.6,0.6,0.5941558441558441,0.18831168831168832,3
23,RandomForestClassifier,['mp_bin'],250,"[1 1 0 0 0 1 0 0 1 1 1 1 0 1 0 0 1 1 0 1 0 0 0 1 0 1 0 1 0 0 1 0 0 1 1 1 1
 0 0 0 0 0 1 0 1 0 0 1 0 0]","[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 0]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 243, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.58,0.58,0.4672754946727549,0.07079646017699126,3
